Array Index,SRA Study,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,tissue,tumor_stage,disease
1,SRP482110,SRR27437837,RNA-Seq,202,6541807370,PRJNA1061486,SAMN39272128,3267971382,SOONCHUNHYANG UNIVERSITY,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23110159,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003781,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:38:00Z,1,GSM8003781,kidney,kidney,normal,
2,SRP482110,SRR27437838,RNA-Seq,202,6565326028,PRJNA1061486,SAMN39272129,3230227412,SOONCHUNHYANG UNIVERSITY,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23110158,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003780,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:46:00Z,1,GSM8003780,kidney,kidney,normal,
3,SRP482110,SRR27437839,RNA-Seq,202,6800380904,PRJNA1061486,SAMN39272130,3428035437,SOONCHUNHYANG UNIVERSITY,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23110157,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003779,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:47:00Z,1,GSM8003779,kidney,kidney,normal,
4,SRP482110,SRR27437840,RNA-Seq,202,8482668820,PRJNA1061486,SAMN39272131,4349546810,SOONCHUNHYANG UNIVERSITY,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX23110156,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003778,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:46:00Z,1,GSM8003778,kidney,kidney,normal,
5,SRP482110,SRR27437841,RNA-Seq,202,6571507632,PRJNA1061486,SAMN39272132,3271605012,SOONCHUNHYANG UNIVERSITY,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23110155,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003777,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:38:00Z,1,GSM8003777,kidney,kidney,normal,
6,SRP482110,SRR27437842,RNA-Seq,202,7131949966,PRJNA1061486,SAMN39272133,3674214636,SOONCHUNHYANG UNIVERSITY,missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23110154,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003776,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:44:00Z,1,GSM8003776,kidney,kidney,normal,
7,SRP482110,SRR27437843,RNA-Seq,202,6323025816,PRJNA1061486,SAMN39272134,3169833635,SOONCHUNHYANG UNIVERSITY,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23110153,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003775,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:45:00Z,1,GSM8003775,kidney,kidney,normal,
8,SRP482110,SRR27437844,RNA-Seq,202,7135473048,PRJNA1061486,SAMN39272135,3685462867,SOONCHUNHYANG UNIVERSITY,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23110152,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003774,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:45:00Z,1,GSM8003774,kidney,kidney,normal,
9,SRP482110,SRR27437845,RNA-Seq,202,9464869378,PRJNA1061486,SAMN39272136,4927760041,SOONCHUNHYANG UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23110151,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003773,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:44:00Z,1,GSM8003773,kidney,kidney,normal,
10,SRP482110,SRR27437846,RNA-Seq,202,8649016830,PRJNA1061486,SAMN39272137,4387181027,SOONCHUNHYANG UNIVERSITY,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23110150,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003772,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:45:00Z,1,GSM8003772,kidney,kidney,tumor stage 4,clear cell renal cell carcinoma
11,SRP482110,SRR27437847,RNA-Seq,202,7399788230,PRJNA1061486,SAMN39272138,3639452523,SOONCHUNHYANG UNIVERSITY,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23110149,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003771,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:43:00Z,1,GSM8003771,kidney,kidney,tumor stage 2,clear cell renal cell carcinoma
12,SRP482110,SRR27437848,RNA-Seq,202,8584604282,PRJNA1061486,SAMN39272139,4256370485,SOONCHUNHYANG UNIVERSITY,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23110148,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM8003770,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-04-10T00:00:00Z,2024-01-06T02:39:00Z,1,GSM8003770,kidney,kidney,tumor stage 4,clear cell renal cell carcinoma
